SEASON	POS	RATE
2018	QB	41
2018	RB	47
2018	WR	91
2018	TE	29
2018	PK	1
2019	QB	42
2019	RB	42
2019	WR	94
2019	TE	25
2019	PK	1
2020	QB	28
2020	RB	30
2020	WR	98
2020	TE	24
2020	PK	3
2021	QB	23
2021	RB	40
2021	WR	92
2021	TE	23
2021	PK	2
2022	QB	33
2022	RB	43
2022	WR	94
2022	TE	21
2022	PK	2
2023	QB	36
2023	RB	52
2023	WR	82
2023	TE	21
2023	PK	3
2024	QB	45
2024	RB	61
2024	WR	71
2024	TE	38
2024	PK	4
2025	QB	47
2025	RB	64
2025	WR	61
2025	TE	32
2025	PK	3
2026	QB	66
2026	RB	60
2026	WR	61
2026	TE	24
2026	PK	3
